correlation,distribution,method,draws,theory,mc_mean,mc_standard_error,absolute_var975,absolute_es975
0.0,normal,count,100000,0.41745212898056216,0.418090971145697,0.0017661185846331048,0.3936126626539894,0.45436137095437706
0.0,normal,cer,100000,0.3974512193616888,0.39776876625910573,0.0017240850088618234,0.39157078803207407,0.4514152691272304
0.0,normal,common,100000,0.4168475811390266,0.41622843048040814,0.0018005839059774035,0.4008099452741867,0.46251736404445776
0.0,student_t5,count,100000,0.41745212898056216,0.4155614141376951,0.0033126798449928142,0.43005298630965033,0.5697916041049167
0.0,student_t5,cer,100000,0.3974512193616888,0.39600301318507924,0.003319301393945682,0.4267093536508878,0.5672627860757015
0.0,student_t5,common,100000,0.4168475811390266,0.41574896493231966,0.0036569860395122746,0.43751934704807793,0.5847862375291659
0.3,normal,count,100000,0.6645472378027026,0.6686221908197869,0.0028962530789497843,0.5196226715297918,0.598100678071663
0.3,normal,cer,100000,0.6505466010694915,0.6539370383720776,0.0028636252122435364,0.5180984012979636,0.5958653937647316
0.3,normal,common,100000,0.6641240543136275,0.6663403311653004,0.0029125376449510663,0.5224416121346068,0.601275410806341
0.3,student_t5,count,100000,0.6645472378027026,0.6742657213324857,0.005392343652336608,0.571308682599347,0.76156838985619
0.3,student_t5,cer,100000,0.6505466010694915,0.6586679972653513,0.005264131744479633,0.5702536090080569,0.7575514352044093
0.3,student_t5,common,100000,0.6641240543136275,0.6691461035973156,0.005253820089254635,0.5734517746161083,0.7626761833110527
0.8,normal,count,100000,1.0763724191729371,1.0758547031282983,0.004775090127533394,0.6755647025434877,0.7794887431049621
0.8,normal,cer,100000,1.0723722372491602,1.0717428819114738,0.004766598503631128,0.6749433148750604,0.7792353770573287
0.8,normal,common,100000,1.076251509604629,1.075491659425091,0.0047827967793819,0.6766920486582323,0.7807534945450422
0.8,student_t5,count,100000,1.0763724191729371,1.0707450982455267,0.00848097824362357,0.7348518249634708,0.9809412183880679
0.8,student_t5,cer,100000,1.0723722372491602,1.06681237358391,0.008486210877700618,0.7335635279098675,0.9802947289747528
0.8,student_t5,common,100000,1.076251509604629,1.070833794382539,0.00856610723918306,0.7344042208981391,0.9816244070931829
