n,seed,fractional,independent,rounded,certificate,effective_n,solver_residual
4,0,0.06443516132953549,0.1742508159446705,0.14642087282018001,0.1742508159446705,1.7602725646545905,0.0
4,1,0.25766700187771097,0.771477919413987,0.6850812233817016,0.771477919413987,1.5044464398297983,0.0
4,2,0.11324640169595414,0.2983575203963303,0.24681482493383486,0.2983575203963303,1.8353257625641048,0.0
4,3,0.6686136749329543,1.4764122827835757,1.0770648104674945,1.4764122827835753,2.483095421686819,2.220446049250313e-16
4,4,0.15137077418516232,0.3815611602362109,0.3069205147347315,0.3815611602362109,1.9727684129031333,1.1102230246251565e-16
4,5,0.3236722737850786,1.1839411566082685,1.1470251770975861,1.1839411566082685,1.1287364226968195,0.0
4,6,0.1991855323974846,0.44066379224949614,0.32197101313601534,0.44066379224949614,2.474577204418579,1.1102230246251565e-16
4,7,0.29539173416191944,0.7414948894477775,0.5948042070478107,0.7414948894477775,1.9864804630621964,0.0
4,8,0.17936114162383987,0.587347299124557,0.5439815433342896,0.5873472991245572,1.3188766701492147,1.1102230246251565e-16
4,9,0.13631561584299312,0.3021403501608685,0.22109964575716717,0.30214035016086854,2.4661390184714813,1.1102230246251565e-16
4,10,0.12673331589701897,0.29958050682687165,0.2304629212398036,0.29958050682687165,2.1996304692354247,0.0
4,11,0.3135451283234125,0.8402140769815868,0.7022252648775663,0.8402140769815871,1.7860088151518125,2.220446049250313e-16
4,12,0.5220157798230344,1.4981484455397134,1.3015102209555716,1.4981484455397132,1.6043386257536079,1.1102230246251565e-16
4,13,0.12857847040598067,0.3194731888642096,0.25452629127763865,0.3194731888642096,2.020670945395209,2.220446049250313e-16
4,14,0.7014381249165953,2.768154372844081,2.755621663903313,2.76815437284408,1.0181922055628128,2.220446049250313e-16
4,15,0.35721853099677287,0.8500150668346345,0.6570620477838154,0.8500150668346347,2.1746410842119044,2.220446049250313e-16
4,16,0.1205707906323316,0.2606195153054745,0.18673163289752387,0.2606195153054745,2.582760912255279,2.220446049250313e-16
4,17,0.15617152716087448,0.37699898910116947,0.29443661592039333,0.37699898910116947,2.1216318720780096,0.0
4,18,0.32828149106285526,1.0078097119983307,0.906037627913967,1.0078097119983307,1.4493062139976687,1.1102230246251565e-16
4,19,0.2704463767191191,1.053336501927819,1.043853500278266,1.053336501927819,1.0363384388595704,0.0
8,0,0.12370456887889449,0.2425803601082515,0.17235925182756753,0.2425803601082515,3.121861085413622,2.220446049250313e-16
8,1,0.33288778777511535,1.018505353979393,0.9210780462838881,1.018505353979393,1.4565895224274321,2.220446049250313e-16
8,2,0.20290179471214728,0.434775643084719,0.31976039490231645,0.43477564308471905,2.6251575518701205,2.220446049250313e-16
8,3,0.2133883161252799,0.4088425215119643,0.2769362976437557,0.4088425215119643,3.275268225154557,1.1102230246251565e-16
8,4,0.25233838225188476,0.5010884516621957,0.34411904174563296,0.5010884516621957,3.043276122697135,1.1102230246251565e-16
8,5,0.1126320847199273,0.3381735131778141,0.3026565999984432,0.3381735131778141,1.4981560437481845,2.220446049250313e-16
8,6,0.12383869193699375,0.2571945253466334,0.19179922594296075,0.2571945253466334,2.785900446287684,1.1102230246251565e-16
8,7,0.18858763998040703,0.3187787291587298,0.21854845577499749,0.31877872915872973,4.3456347397654564,2.220446049250313e-16
8,8,0.14132982944635497,0.35073924577152593,0.2851245869493,0.35073924577155013,2.024657540026074,7.494005416219807e-14
8,9,0.1899226577811651,0.4462598942906918,0.35607039851503125,0.4462598942906919,2.222728079236042,2.220446049250313e-16
