network,outage_size,outage,count,cer,diagonal,equal,robust,common
0,1,0,0.260051052714413,0.2518132711783052,0.25488617308838846,0.28901506368586616,0.2517808357608733,0.2516714480863047
0,1,1,0.30799681165523884,0.2992565245185034,0.3013833055017002,0.30610918407831544,0.29922403904995987,0.2947323525993189
0,1,2,0.2924482720193434,0.28333883013657274,0.28339467429484216,0.28432949795914597,0.28333883013657274,0.28180267275918813
0,1,3,0.31526054191792063,0.3070592482280159,0.3105250026779504,0.3122041486215358,0.307125435873581,0.30271527238020357
0,2,"0,1",0.26267270647142005,0.25636789570458046,0.2681566087826079,0.2894382011518313,0.25637287714625473,0.25431934557907604
0,2,"0,2",0.2470415933517799,0.2441081112383695,0.24225934215456316,0.24225934215456316,0.24337924902263652,0.24491524564485023
0,2,"0,3",0.27452121854855605,0.2761967269236911,0.2826027708993004,0.3014477870698512,0.28197931549422006,0.2659509448405819
0,2,"1,2",0.30278989795886685,0.28531593307992154,0.28579531280776393,0.2863819864089645,0.28531593307992154,0.2814331146043464
0,2,"1,3",0.33747774644779727,0.3370344514390321,0.3392096905438075,0.3392096905438075,0.3392096905438075,0.336784634359079
0,2,"2,3",0.305496094861967,0.29441936854179884,0.2954070264574966,0.29562205640253514,0.29478965817363567,0.2903152556749586
1,1,0,0.11645291601368893,0.1131407088433333,0.11389157401137462,0.11585960428425138,0.1131407088433333,0.11240348073852727
1,1,1,0.13591133184298748,0.12613424335050188,0.12800883002417657,0.13071283936316014,0.12615231469384797,0.12324988875102144
1,1,2,0.11901675307357806,0.1171544699614727,0.11803498093024956,0.11820389698557549,0.1171544699614727,0.1159375881597927
1,1,3,0.13092791909357102,0.12953840472882505,0.1324662998589569,0.1324662998589569,0.12955665667342647,0.12777731887641405
1,2,"0,1",0.12171272755418341,0.11460172106353556,0.11908504772706535,0.1221892045301942,0.11460172106353556,0.11305001190891661
1,2,"0,2",0.10756164084833975,0.10628092482530761,0.10623068343372245,0.10638045649991734,0.10628092482530761,0.10643005184916528
1,2,"0,3",0.1272042785042013,0.12174434551384769,0.12734092730734362,0.12735938585197848,0.12369917645905429,0.11850484262482641
1,2,"1,2",0.12914740219231713,0.11843268897434236,0.11984723123611501,0.12308127507123469,0.11843268897434236,0.11623730054802636
1,2,"1,3",0.1484458189191973,0.14798695710459098,0.1491244096293422,0.1491244096293422,0.14910313969136926,0.14783844630468002
1,2,"2,3",0.12753967900757823,0.12269865308769777,0.12636414306069702,0.12673162731338072,0.12433267423877367,0.12067623948878248
2,1,0,0.13857980210926474,0.13801979905577766,0.13869169231583572,0.14188115245359395,0.13803302237937468,0.13763003802735205
2,1,1,0.1595632046426358,0.1444239282671238,0.1601476331108624,0.1616105777862832,0.1444002725854155,0.14208654684357958
2,1,2,0.13687263148752102,0.13599632618289437,0.14063049402105537,0.14160707771012807,0.136339354724443,0.13533483251108944
2,1,3,0.15752099768432065,0.15014527692546084,0.15831552027202309,0.15831552027202309,0.15414998870857713,0.14844228271025794
2,2,"0,1",0.15777124845241763,0.1392347419418894,0.14490487196460966,0.15334902916769877,0.1392629648045775,0.13806083368808508
2,2,"0,2",0.13273308340650086,0.13113390720533386,0.13112115936683666,0.13120233660236122,0.13113390720533386,0.13105539998955287
2,2,"0,3",0.15475602744029324,0.14960232643313381,0.15665259198342357,0.1574477071676932,0.15315071400648803,0.1445563921515353
2,2,"1,2",0.15774407522368258,0.13932601660553157,0.14596470442680717,0.1526072261745744,0.1393743428188025,0.13750149970770167
2,2,"1,3",0.18315547802794158,0.18217741062187973,0.1836363090324423,0.1836363090324423,0.18357855910257034,0.18203524299866566
2,2,"2,3",0.1499642229986925,0.1500958454441607,0.15529813577294344,0.1556636787348048,0.15317167394906517,0.1427502920364142
3,1,0,0.11173996417042836,0.11048639408729671,0.11174256114877423,0.11386563552633051,0.11048639408729671,0.10999592520395762
3,1,1,0.1275319196413351,0.1248400243491581,0.12530598923674674,0.12582832874265099,0.12481085743885492,0.12234804351236411
3,1,2,0.11537115744191981,0.1149059065894262,0.11514378349436988,0.11563536814856017,0.1149059065894262,0.11434192652957716
3,1,3,0.13834626875196165,0.1280708355628405,0.1308242603316269,0.1308242603316269,0.128087292941161,0.12650558563817454
3,2,"0,1",0.11736447021725116,0.11277400443248609,0.11572043989030542,0.1196865031282223,0.11277400443248609,0.11067080548357404
3,2,"0,2",0.10395731221823504,0.10448684028849248,0.103797708521669,0.10396448882481532,0.10428226756015224,0.10520516069783416
