feedback,outage_size,count,cer
0.0,1,0.03342013888888888,0.03342013888888888
0.0,2,0.04166666666666668,0.04166666666666668
0.4,1,0.09283371913580243,0.09283371913580243
0.4,2,0.11574074074074063,0.11574074074074063
0.75,1,0.534722222222222,0.534722222222222
0.75,2,0.6666666666666665,0.6666666666666665
